19/07/12 20:31
Données du projet

                           	Segments	 Mots	Caractères (sans espaces)	Caractères (avec espaces)	
Total :                    	   11192	47988	                   256034	                   292247	
Restants :                 	       0	    0	                        0	                        0	
Segments uniques :         	    8121	39222	                   209627	                   240207	
Segments uniques restants :	       0	    0	                        0	                        0	


Statistiques par fichiers :

Nom du fichier               	Total segments	Segments restants	Segments uniques	Segments uniques restants	Total mots	Mots restants	Mots uniques	Mots uniques restants	Total caractères (sans espaces)	Caractères restants (sans espaces)	Caractères uniques (sans espaces)	Caractères uniques restants (sans espaces)	Total caractères (avec espaces)	Caractères restants (avec espaces)	Caractères uniques (avec espaces)	Caractères uniques restants (avec espaces)	
Mage_Poll.csv.po             	            42	                0	              33	                        0	       116	            0	         103	                    0	                            560	                                 0	                              492	                                         0	                            634	                                 0	                              562	                                         0	
Mage_ProductAlert.csv.po     	            35	                0	              27	                        0	       195	            0	         178	                    0	                           1034	                                 0	                              931	                                         0	                           1194	                                 0	                             1082	                                         0	
Mage_Protx.csv.po            	            31	                0	              18	                        0	       121	            0	          79	                    0	                            635	                                 0	                              405	                                         0	                            722	                                 0	                              466	                                         0	
Mage_Rating.csv.po           	            29	                0	              18	                        0	        87	            0	          66	                    0	                            412	                                 0	                              329	                                         0	                            470	                                 0	                              377	                                         0	
Mage_Reports.csv.po          	           180	                0	             102	                        0	       465	            0	         334	                    0	                           2596	                                 0	                             1868	                                         0	                           2880	                                 0	                             2099	                                         0	
Mage_Review.csv.po           	            95	                0	              59	                        0	       310	            0	         240	                    0	                           1550	                                 0	                             1215	                                         0	                           1741	                                 0	                             1372	                                         0	
Mage_Rss.csv.po              	            59	                0	              46	                        0	       177	            0	         159	                    0	                            885	                                 0	                              785	                                         0	                            992	                                 0	                              887	                                         0	
Mage_Rule.csv.po             	            38	                0	              29	                        0	       109	            0	          93	                    0	                            510	                                 0	                              431	                                         0	                            581	                                 0	                              495	                                         0	
Mage_Sales.csv.po            	           901	                0	             653	                        0	      3450	            0	        2885	                    0	                          18378	                                 0	                            15212	                                         0	                          20915	                                 0	                            17428	                                         0	
Mage_SalesRule.csv.po        	           146	                0	              78	                        0	       518	            0	         350	                    0	                           2657	                                 0	                             1803	                                         0	                           3025	                                 0	                             2071	                                         0	
